# argv: /Users/waleedabuujaish/Desktop/vtp/llama.cpp/build-prune/bin/llama-server -m models/llava-v1.5-7b-Q4_K_M.gguf --mmproj models/llava-v1.5-7b-mmproj-model-f16.gguf -t 8 -tb 8 -b 2048 -ub 1024 --jinja --chat-template {%- for message in messages -%}{%- if message['role'] == 'system' -%}{{ message['content'] }}{%- elif message['role'] == 'user' -%} USER: {{ message['content'] }}{%- elif message['role'] == 'assistant' -%} ASSISTANT: {{ message['content'] }}</s>{%- endif -%}{%- endfor -%}{%- if add_generation_prompt -%} ASSISTANT:{%- endif -%} --visual-keep 0.25 --visual-prune-method cls --host 127.0.0.1 --port 8811
0.00.003.555 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.003.775 W srv  llama_server: -----------------
0.00.003.776 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.003.777 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.003.777 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.003.777 W srv  llama_server: -----------------
0.00.005.539 I srv    load_model: loading model 'models/llava-v1.5-7b-Q4_K_M.gguf'
0.04.074.904 W load_tensors: ffn up/down are swapped
0.04.396.223 I srv    load_model: loaded multimodal model, 'models/llava-v1.5-7b-mmproj-model-f16.gguf'
0.04.460.318 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.04.461.927 I srv  llama_server: model loaded
0.04.461.930 I srv  llama_server: listening on http://127.0.0.1:8811
0.06.062.342 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.06.062.363 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.08.699.621 I slot print_timing: id  3 | task 0 | prompt eval time =    2573.13 ms /   230 tokens (   11.19 ms per token,    89.39 tokens per second)
0.08.699.624 I slot print_timing: id  3 | task 0 |        eval time =      64.11 ms /     4 tokens (   16.03 ms per token,    62.39 tokens per second)
0.08.699.625 I slot print_timing: id  3 | task 0 |       total time =    2637.24 ms /   234 tokens
0.08.699.625 I slot print_timing: id  3 | task 0 |    graphs reused =          3
0.08.699.639 I slot      release: id  3 | task 0 | stop processing: n_tokens = 233, truncated = 0
0.08.738.467 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.150 (> 0.100 thold), f_keep = 0.146
0.08.747.444 I slot launch_slot_: id  3 | task 6 | processing task, is_child = 0
0.11.123.521 I slot print_timing: id  3 | task 6 | prompt eval time =    2311.63 ms /   192 tokens (   12.04 ms per token,    83.06 tokens per second)
0.11.123.525 I slot print_timing: id  3 | task 6 |        eval time =      64.43 ms /     4 tokens (   16.11 ms per token,    62.08 tokens per second)
0.11.123.525 I slot print_timing: id  3 | task 6 |       total time =    2376.06 ms /   196 tokens
0.11.123.525 I slot print_timing: id  3 | task 6 |    graphs reused =          5
0.11.123.538 I slot      release: id  3 | task 6 | stop processing: n_tokens = 229, truncated = 0
0.11.170.055 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.132 (> 0.100 thold), f_keep = 0.148
0.11.179.194 I slot launch_slot_: id  3 | task 11 | processing task, is_child = 0
