# argv: /kaggle/working/llama.cpp-prune/build/bin/llama-server -m /kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf --mmproj /kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf -t 8 -tb 8 -b 2048 -ub 1024 --jinja --chat-template {%- for message in messages -%}{%- if message['role'] == 'system' -%}{{ message['content'] }}{%- elif message['role'] == 'user' -%} USER: {{ message['content'] }}{%- elif message['role'] == 'assistant' -%} ASSISTANT: {{ message['content'] }}</s>{%- endif -%}{%- endfor -%}{%- if add_generation_prompt -%} ASSISTANT:{%- endif -%} --visual-keep 0.25 --visual-prune-method cls --host 127.0.0.1 --port 8812 -ngl 999
0.00.022.367 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.096.543 W srv  llama_server: -----------------
0.00.096.552 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.096.552 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.096.552 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.096.553 W srv  llama_server: -----------------
0.00.098.033 I srv    load_model: loading model '/kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf'
0.01.685.217 W load_tensors: ffn up/down are swapped
0.01.969.823 I srv    load_model: loaded multimodal model, '/kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf'
0.02.004.220 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.02.007.289 I srv  llama_server: model loaded
0.02.007.325 I srv  llama_server: listening on http://127.0.0.1:8812
0.03.968.493 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.03.968.625 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.04.854.468 I slot print_timing: id  3 | task 0 | prompt eval time =     860.31 ms /   200 tokens (    4.30 ms per token,   232.47 tokens per second)
0.04.854.480 I slot print_timing: id  3 | task 0 |        eval time =      25.43 ms /     2 tokens (   12.72 ms per token,    78.64 tokens per second)
0.04.854.481 I slot print_timing: id  3 | task 0 |       total time =     885.74 ms /   202 tokens
0.04.854.488 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.04.854.543 I slot      release: id  3 | task 0 | stop processing: n_tokens = 201, truncated = 0
0.04.914.408 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.915 (> 0.100 thold), f_keep = 0.910
0.04.914.485 I slot launch_slot_: id  3 | task 4 | processing task, is_child = 0
0.05.146.528 I slot print_timing: id  3 | task 4 | prompt eval time =     208.02 ms /    17 tokens (   12.24 ms per token,    81.72 tokens per second)
0.05.146.539 I slot print_timing: id  3 | task 4 |        eval time =      23.97 ms /     2 tokens (   11.99 ms per token,    83.43 tokens per second)
0.05.146.541 I slot print_timing: id  3 | task 4 |       total time =     232.00 ms /    19 tokens
0.05.146.542 I slot print_timing: id  3 | task 4 |    graphs reused =          1
0.05.146.574 I slot      release: id  3 | task 4 | stop processing: n_tokens = 201, truncated = 0
0.05.206.746 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.920 (> 0.100 thold), f_keep = 0.910
0.05.206.821 I slot launch_slot_: id  3 | task 7 | processing task, is_child = 0
0.05.453.046 I slot print_timing: id  3 | task 7 | prompt eval time =     222.27 ms /    16 tokens (   13.89 ms per token,    71.98 tokens per second)
0.05.453.057 I slot print_timing: id  3 | task 7 |        eval time =      23.92 ms /     2 tokens (   11.96 ms per token,    83.62 tokens per second)
0.05.453.058 I slot print_timing: id  3 | task 7 |       total time =     246.19 ms /    18 tokens
0.05.453.060 I slot print_timing: id  3 | task 7 |    graphs reused =          1
0.05.453.088 I slot      release: id  3 | task 7 | stop processing: n_tokens = 200, truncated = 0
0.05.513.315 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.920 (> 0.100 thold), f_keep = 0.915
0.05.513.402 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
0.05.752.141 I slot print_timing: id  3 | task 10 | prompt eval time =     214.76 ms /    16 tokens (   13.42 ms per token,    74.50 tokens per second)
0.05.752.154 I slot print_timing: id  3 | task 10 |        eval time =      23.91 ms /     2 tokens (   11.96 ms per token,    83.64 tokens per second)
0.05.752.155 I slot print_timing: id  3 | task 10 |       total time =     238.67 ms /    18 tokens
0.05.752.157 I slot print_timing: id  3 | task 10 |    graphs reused =          1
0.05.752.189 I slot      release: id  3 | task 10 | stop processing: n_tokens = 200, truncated = 0
0.05.812.359 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.915 (> 0.100 thold), f_keep = 0.915
0.05.812.434 I slot launch_slot_: id  3 | task 13 | processing task, is_child = 0
0.06.044.546 I slot print_timing: id  3 | task 13 | prompt eval time =     208.02 ms /    17 tokens (   12.24 ms per token,    81.72 tokens per second)
0.06.044.559 I slot print_timing: id  3 | task 13 |        eval time =      24.05 ms /     2 tokens (   12.03 ms per token,    83.15 tokens per second)
0.06.044.560 I slot print_timing: id  3 | task 13 |       total time =     232.07 ms /    19 tokens
0.06.044.561 I slot print_timing: id  3 | task 13 |    graphs reused =          1
0.06.044.594 I slot      release: id  3 | task 13 | stop processing: n_tokens = 201, truncated = 0
0.06.105.693 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.920 (> 0.100 thold), f_keep = 0.910
0.06.105.774 I slot launch_slot_: id  3 | task 16 | processing task, is_child = 0
0.06.344.664 I slot print_timing: id  3 | task 16 | prompt eval time =     214.92 ms /    16 tokens (   13.43 ms per token,    74.44 tokens per second)
0.06.344.676 I slot print_timing: id  3 | task 16 |        eval time =      23.92 ms /     2 tokens (   11.96 ms per token,    83.61 tokens per second)
0.06.344.677 I slot print_timing: id  3 | task 16 |       total time =     238.85 ms /    18 tokens
0.06.344.678 I slot print_timing: id  3 | task 16 |    graphs reused =          1
0.06.344.708 I slot      release: id  3 | task 16 | stop processing: n_tokens = 200, truncated = 0
0.06.406.667 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.170 (> 0.100 thold), f_keep = 0.170
0.06.505.396 I slot launch_slot_: id  3 | task 19 | processing task, is_child = 0
0.07.141.485 I slot print_timing: id  3 | task 19 | prompt eval time =     612.11 ms /   166 tokens (    3.69 ms per token,   271.19 tokens per second)
0.07.141.496 I slot print_timing: id  3 | task 19 |        eval time =      23.91 ms /     2 tokens (   11.96 ms per token,    83.63 tokens per second)
0.07.141.497 I slot print_timing: id  3 | task 19 |       total time =     636.03 ms /   168 tokens
0.07.141.498 I slot print_timing: id  3 | task 19 |    graphs reused =          1
0.07.141.554 I slot      release: id  3 | task 19 | stop processing: n_tokens = 201, truncated = 0
0.07.205.379 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.920 (> 0.100 thold), f_keep = 0.910
0.07.205.446 I slot launch_slot_: id  3 | task 22 | processing task, is_child = 0
0.07.444.507 I slot print_timing: id  3 | task 22 | prompt eval time =     214.96 ms /    16 tokens (   13.44 ms per token,    74.43 tokens per second)
0.07.444.519 I slot print_timing: id  3 | task 22 |        eval time =      24.06 ms /     2 tokens (   12.03 ms per token,    83.13 tokens per second)
0.07.444.521 I slot print_timing: id  3 | task 22 |       total time =     239.02 ms /    18 tokens
0.07.444.522 I slot print_timing: id  3 | task 22 |    graphs reused =          1
0.07.444.581 I slot      release: id  3 | task 22 | stop processing: n_tokens = 200, truncated = 0
0.07.503.636 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.920 (> 0.100 thold), f_keep = 0.915
0.07.503.715 I slot launch_slot_: id  3 | task 25 | processing task, is_child = 0
0.07.742.532 I slot print_timing: id  3 | task 25 | prompt eval time =     214.86 ms /    16 tokens (   13.43 ms per token,    74.47 tokens per second)
0.07.742.545 I slot print_timing: id  3 | task 25 |        eval time =      23.91 ms /     2 tokens (   11.96 ms per token,    83.63 tokens per second)
0.07.742.546 I slot print_timing: id  3 | task 25 |       total time =     238.78 ms /    18 tokens
0.07.742.547 I slot print_timing: id  3 | task 25 |    graphs reused =          1
0.07.742.596 I slot      release: id  3 | task 25 | stop processing: n_tokens = 200, truncated = 0
0.07.801.605 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.910 (> 0.100 thold), f_keep = 0.915
0.07.801.673 I slot launch_slot_: id  3 | task 28 | processing task, is_child = 0
0.08.034.076 I slot print_timing: id  3 | task 28 | prompt eval time =     208.45 ms /    18 tokens (   11.58 ms per token,    86.35 tokens per second)
0.08.034.089 I slot print_timing: id  3 | task 28 |        eval time =      23.91 ms /     2 tokens (   11.96 ms per token,    83.63 tokens per second)
0.08.034.090 I slot print_timing: id  3 | task 28 |       total time =     232.36 ms /    20 tokens
0.08.034.092 I slot print_timing: id  3 | task 28 |    graphs reused =          1
0.08.034.125 I slot      release: id  3 | task 28 | stop processing: n_tokens = 202, truncated = 0
0.08.093.129 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.901 (> 0.100 thold), f_keep = 0.901
0.08.093.214 I slot launch_slot_: id  3 | task 31 | processing task, is_child = 0
0.08.326.324 I slot print_timing: id  3 | task 31 | prompt eval time =     209.15 ms /    20 tokens (   10.46 ms per token,    95.63 tokens per second)
0.08.326.334 I slot print_timing: id  3 | task 31 |        eval time =      23.92 ms /     2 tokens (   11.96 ms per token,    83.61 tokens per second)
0.08.326.335 I slot print_timing: id  3 | task 31 |       total time =     233.07 ms /    22 tokens
0.08.326.337 I slot print_timing: id  3 | task 31 |    graphs reused =          1
0.08.326.371 I slot      release: id  3 | task 31 | stop processing: n_tokens = 203, truncated = 0
0.08.385.205 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.910 (> 0.100 thold), f_keep = 0.897
0.08.385.320 I slot launch_slot_: id  3 | task 34 | processing task, is_child = 0
0.08.617.532 I slot print_timing: id  3 | task 34 | prompt eval time =     208.36 ms /    18 tokens (   11.58 ms per token,    86.39 tokens per second)
