# argv: /kaggle/working/llama.cpp-prune/build/bin/llama-server -m /kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf --mmproj /kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf -t 8 -tb 8 -b 2048 -ub 1024 --jinja --chat-template {%- for message in messages -%}{%- if message['role'] == 'system' -%}{{ message['content'] }}{%- elif message['role'] == 'user' -%} USER: {{ message['content'] }}{%- elif message['role'] == 'assistant' -%} ASSISTANT: {{ message['content'] }}</s>{%- endif -%}{%- endfor -%}{%- if add_generation_prompt -%} ASSISTANT:{%- endif -%} --visual-keep 1.0 --visual-prune-method cls --host 127.0.0.1 --port 8812 -ngl 999
0.00.022.038 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.093.591 W srv  llama_server: -----------------
0.00.093.598 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.093.598 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.093.599 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.093.599 W srv  llama_server: -----------------
0.00.095.047 I srv    load_model: loading model '/kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf'
0.01.538.827 W load_tensors: ffn up/down are swapped
0.01.821.874 I srv    load_model: loaded multimodal model, '/kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf'
0.01.856.258 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.01.859.182 I srv  llama_server: model loaded
0.01.859.224 I srv  llama_server: listening on http://127.0.0.1:8812
0.01.970.436 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.01.970.512 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.03.299.499 I slot print_timing: id  3 | task 0 | prompt eval time =    1300.94 ms /   632 tokens (    2.06 ms per token,   485.80 tokens per second)
0.03.299.529 I slot print_timing: id  3 | task 0 |        eval time =      27.98 ms /     2 tokens (   13.99 ms per token,    71.48 tokens per second)
0.03.299.531 I slot print_timing: id  3 | task 0 |       total time =    1328.92 ms /   634 tokens
0.03.299.541 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.03.299.632 I slot      release: id  3 | task 0 | stop processing: n_tokens = 633, truncated = 0
0.03.363.863 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.973 (> 0.100 thold), f_keep = 0.972
0.03.364.009 I slot launch_slot_: id  3 | task 4 | processing task, is_child = 0
0.03.597.783 I slot print_timing: id  3 | task 4 | prompt eval time =     209.32 ms /    17 tokens (   12.31 ms per token,    81.21 tokens per second)
0.03.597.833 I slot print_timing: id  3 | task 4 |        eval time =      24.38 ms /     2 tokens (   12.19 ms per token,    82.04 tokens per second)
0.03.597.836 I slot print_timing: id  3 | task 4 |       total time =     233.70 ms /    19 tokens
0.03.597.838 I slot print_timing: id  3 | task 4 |    graphs reused =          1
0.03.597.886 I slot      release: id  3 | task 4 | stop processing: n_tokens = 633, truncated = 0
0.03.659.054 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.975 (> 0.100 thold), f_keep = 0.972
0.03.659.182 I slot launch_slot_: id  3 | task 7 | processing task, is_child = 0
0.03.908.525 I slot print_timing: id  3 | task 7 | prompt eval time =     224.86 ms /    16 tokens (   14.05 ms per token,    71.16 tokens per second)
0.03.908.567 I slot print_timing: id  3 | task 7 |        eval time =      24.42 ms /     2 tokens (   12.21 ms per token,    81.91 tokens per second)
0.03.908.570 I slot print_timing: id  3 | task 7 |       total time =     249.28 ms /    18 tokens
0.03.908.581 I slot print_timing: id  3 | task 7 |    graphs reused =          1
0.03.908.631 I slot      release: id  3 | task 7 | stop processing: n_tokens = 632, truncated = 0
0.03.969.230 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.975 (> 0.100 thold), f_keep = 0.973
0.03.969.363 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
0.04.209.926 I slot print_timing: id  3 | task 10 | prompt eval time =     216.12 ms /    16 tokens (   13.51 ms per token,    74.03 tokens per second)
0.04.209.972 I slot print_timing: id  3 | task 10 |        eval time =      24.38 ms /     2 tokens (   12.19 ms per token,    82.03 tokens per second)
0.04.209.975 I slot print_timing: id  3 | task 10 |       total time =     240.50 ms /    18 tokens
0.04.209.977 I slot print_timing: id  3 | task 10 |    graphs reused =          1
0.04.210.024 I slot      release: id  3 | task 10 | stop processing: n_tokens = 632, truncated = 0
0.04.269.846 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.973 (> 0.100 thold), f_keep = 0.973
0.04.269.960 I slot launch_slot_: id  3 | task 13 | processing task, is_child = 0
0.04.503.984 I slot print_timing: id  3 | task 13 | prompt eval time =     209.51 ms /    17 tokens (   12.32 ms per token,    81.14 tokens per second)
0.04.504.022 I slot print_timing: id  3 | task 13 |        eval time =      24.44 ms /     2 tokens (   12.22 ms per token,    81.83 tokens per second)
0.04.504.024 I slot print_timing: id  3 | task 13 |       total time =     233.95 ms /    19 tokens
0.04.504.027 I slot print_timing: id  3 | task 13 |    graphs reused =          1
0.04.504.078 I slot      release: id  3 | task 13 | stop processing: n_tokens = 633, truncated = 0
0.04.565.852 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.975 (> 0.100 thold), f_keep = 0.972
0.04.565.955 I slot launch_slot_: id  3 | task 16 | processing task, is_child = 0
0.04.806.581 I slot print_timing: id  3 | task 16 | prompt eval time =     216.08 ms /    16 tokens (   13.50 ms per token,    74.05 tokens per second)
0.04.806.632 I slot print_timing: id  3 | task 16 |        eval time =      24.47 ms /     2 tokens (   12.24 ms per token,    81.73 tokens per second)
0.04.806.634 I slot print_timing: id  3 | task 16 |       total time =     240.55 ms /    18 tokens
0.04.806.636 I slot print_timing: id  3 | task 16 |    graphs reused =          1
0.04.806.696 I slot      release: id  3 | task 16 | stop processing: n_tokens = 632, truncated = 0
0.04.869.703 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.04.869.828 I slot launch_slot_: id  2 | task 19 | processing task, is_child = 0
0.06.430.378 I slot print_timing: id  2 | task 19 | prompt eval time =    1242.15 ms /   632 tokens (    1.97 ms per token,   508.79 tokens per second)
0.06.430.432 I slot print_timing: id  2 | task 19 |        eval time =      24.36 ms /     2 tokens (   12.18 ms per token,    82.12 tokens per second)
0.06.430.435 I slot print_timing: id  2 | task 19 |       total time =    1266.51 ms /   634 tokens
0.06.430.437 I slot print_timing: id  2 | task 19 |    graphs reused =          1
0.06.430.483 I slot      release: id  2 | task 19 | stop processing: n_tokens = 633, truncated = 0
0.06.492.155 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.975 (> 0.100 thold), f_keep = 0.972
0.06.492.258 I slot launch_slot_: id  2 | task 23 | processing task, is_child = 0
0.06.732.705 I slot print_timing: id  2 | task 23 | prompt eval time =     215.99 ms /    16 tokens (   13.50 ms per token,    74.08 tokens per second)
0.06.732.753 I slot print_timing: id  2 | task 23 |        eval time =      24.39 ms /     2 tokens (   12.20 ms per token,    82.00 tokens per second)
0.06.732.756 I slot print_timing: id  2 | task 23 |       total time =     240.38 ms /    18 tokens
0.06.732.758 I slot print_timing: id  2 | task 23 |    graphs reused =          1
0.06.732.807 I slot      release: id  2 | task 23 | stop processing: n_tokens = 632, truncated = 0
0.06.792.660 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.975 (> 0.100 thold), f_keep = 0.973
0.06.792.779 I slot launch_slot_: id  2 | task 26 | processing task, is_child = 0
0.07.033.194 I slot print_timing: id  2 | task 26 | prompt eval time =     215.98 ms /    16 tokens (   13.50 ms per token,    74.08 tokens per second)
0.07.033.228 I slot print_timing: id  2 | task 26 |        eval time =      24.37 ms /     2 tokens (   12.18 ms per token,    82.08 tokens per second)
0.07.033.230 I slot print_timing: id  2 | task 26 |       total time =     240.34 ms /    18 tokens
0.07.033.234 I slot print_timing: id  2 | task 26 |    graphs reused =          1
0.07.033.277 I slot      release: id  2 | task 26 | stop processing: n_tokens = 632, truncated = 0
0.07.092.821 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.972 (> 0.100 thold), f_keep = 0.973
0.07.092.921 I slot launch_slot_: id  2 | task 29 | processing task, is_child = 0
0.07.326.891 I slot print_timing: id  2 | task 29 | prompt eval time =     209.54 ms /    18 tokens (   11.64 ms per token,    85.90 tokens per second)
0.07.326.922 I slot print_timing: id  2 | task 29 |        eval time =      24.36 ms /     2 tokens (   12.18 ms per token,    82.09 tokens per second)
0.07.326.924 I slot print_timing: id  2 | task 29 |       total time =     233.91 ms /    20 tokens
0.07.326.926 I slot print_timing: id  2 | task 29 |    graphs reused =          1
0.07.326.970 I slot      release: id  2 | task 29 | stop processing: n_tokens = 634, truncated = 0
0.07.385.483 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.968 (> 0.100 thold), f_keep = 0.968
0.07.385.597 I slot launch_slot_: id  2 | task 32 | processing task, is_child = 0
0.07.619.993 I slot print_timing: id  2 | task 32 | prompt eval time =     210.08 ms /    20 tokens (   10.50 ms per token,    95.20 tokens per second)
0.07.620.020 I slot print_timing: id  2 | task 32 |        eval time =      24.25 ms /     2 tokens (   12.12 ms per token,    82.47 tokens per second)
0.07.620.023 I slot print_timing: id  2 | task 32 |       total time =     234.33 ms /    22 tokens
0.07.620.024 I slot print_timing: id  2 | task 32 |    graphs reused =          1
0.07.620.066 I slot      release: id  2 | task 32 | stop processing: n_tokens = 635, truncated = 0
0.07.679.293 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.972 (> 0.100 thold), f_keep = 0.967
0.07.679.391 I slot launch_slot_: id  2 | task 35 | processing task, is_child = 0
0.07.913.365 I slot print_timing: id  2 | task 35 | prompt eval time =     209.55 ms /    18 tokens (   11.64 ms per token,    85.90 tokens per second)
0.07.913.398 I slot print_timing: id  2 | task 35 |        eval time =      24.36 ms /     2 tokens (   12.18 ms per token,    82.09 tokens per second)
0.07.913.400 I slot print_timing: id  2 | task 35 |       total time =     233.91 ms /    20 tokens
